date,room_type,season,available_rooms,booked_rooms,occupancy_rate,avg_daily_rate,revenue,day_type
2025-01-01,standard,low,80,66,0.83,88.0,5807.79,weekday
2025-01-01,deluxe,low,40,30,0.75,139.82,4194.57,weekday
2025-01-01,suite,low,20,17,0.85,243.27,4135.58,weekday
2025-01-02,standard,low,80,77,0.96,91.16,7019.0,weekday
2025-01-02,deluxe,low,40,29,0.74,139.34,4040.84,weekday
2025-01-02,suite,low,20,14,0.74,235.81,3301.27,weekday
2025-01-03,standard,low,80,77,0.97,91.33,7032.32,weekday
2025-01-03,deluxe,low,40,34,0.87,144.35,4907.87,weekday
2025-01-03,suite,low,20,14,0.71,233.81,3273.38,weekday
2025-01-04,standard,low,80,80,1.0,92.0,7360.0,weekend
2025-01-04,deluxe,low,40,37,0.93,146.94,5436.69,weekend
2025-01-04,suite,low,20,18,0.93,248.64,4475.48,weekend
2025-01-05,standard,low,80,80,1.0,92.0,7360.0,weekend
2025-01-05,deluxe,low,40,27,0.69,137.4,3709.68,weekend
2025-01-05,suite,low,20,14,0.72,234.61,3284.59,weekend
2025-01-06,standard,low,80,55,0.7,84.74,4660.55,weekday
2025-01-06,deluxe,low,40,25,0.64,135.44,3386.11,weekday
2025-01-06,suite,low,20,16,0.81,240.45,3847.15,weekday
2025-01-07,standard,low,80,52,0.65,83.67,4351.0,weekday
2025-01-07,deluxe,low,40,23,0.59,133.45,3069.27,weekday
2025-01-07,suite,low,20,19,0.96,250.19,4753.67,weekday
2025-01-08,standard,low,80,59,0.74,85.77,5060.61,weekday
2025-01-08,deluxe,low,40,31,0.78,140.85,4366.3,weekday
2025-01-08,suite,low,20,11,0.59,225.73,2483.0,weekday
2025-01-09,standard,low,80,55,0.7,84.79,4663.58,weekday
2025-01-09,deluxe,low,40,31,0.78,141.07,4373.02,weekday
2025-01-09,suite,low,20,12,0.62,228.04,2736.53,weekday
2025-01-10,standard,low,80,65,0.82,87.62,5695.59,weekday
2025-01-10,deluxe,low,40,27,0.69,137.51,3712.67,weekday
2025-01-10,suite,low,20,14,0.73,235.32,3294.45,weekday
2025-01-11,standard,low,80,72,0.91,89.86,6470.14,weekend
2025-01-11,deluxe,low,40,40,1.0,149.5,5980.0,weekend
2025-01-11,suite,low,20,20,1.0,253.0,5060.0,weekend
2025-01-12,standard,low,80,66,0.83,88.02,5809.07,weekend
2025-01-12,deluxe,low,40,40,1.0,149.5,5980.0,weekend
2025-01-12,suite,low,20,16,0.81,240.23,3843.65,weekend
2025-01-13,standard,low,80,63,0.8,87.11,5487.99,weekday
2025-01-13,deluxe,low,40,20,0.52,130.71,2614.17,weekday
